tweet_id,name,screen_name,retweet_count,text,mined_at,created_at,favourite_count,hashtags,status_count,followers_count,location,source_device,retweet_text
1468436776339775493,Teng Caballero/PAYAMAN 🇵🇭,CesarCa61242483,1,"RT @CislaSoldier: 🪂Dive into freedom with #CryptoIsland🏝  
$CISLA😍 is the Future🔥🚀
👉Join our 💪Community @CryptoIslandInc 
👉Join our 💪Army @…",2021-12-07 23:26:27.533207,2021-12-08 04:26:24+00:00,0,"[{'text': 'CryptoIsland', 'indices': [42, 55]}]",2792,138,,Twitter for Android,"🪂Dive into freedom with #CryptoIsland🏝  
$CISLA😍 is the Future🔥🚀
👉Join our 💪Community @CryptoIslandInc 
👉Join our 💪Army @CislaArmy 💎🙌
#CISLA #Cryptoislandgroup #Cisla1000x #BNBSPACE #BSCSPACE #CislaArmy #1000x #cryptocurrency #Airdrops #crypto #blockchain #btc #forex https://t.co/dR7tEOcWIs"
1468436763878195203,Nema bukan nemo,BukanIkanYa,24,"RT @CryptosHeaven1: 💎@NobelDogeCoin - $NOGE 🔥
 
⭐Low Cap Stealth Launch🚀

🎁5% $BUSD rewards
🔥Liquidity Burned
📜Contract Renounced
🤖3% Max T…",2021-12-07 23:26:27.539986,2021-12-08 04:26:21+00:00,0,[],3291,863,,Twitter for iPhone,"💎@NobelDogeCoin - $NOGE 🔥
 
⭐Low Cap Stealth Launch🚀

🎁5% $BUSD rewards
🔥Liquidity Burned
📜Contract Renounced
🤖3% Max TX

🌐 website : Soon

📌https://t.co/RocdBv3vpi

🥞https://t.co/GSIQxBnXsQ

#NOGE

#DOGE #BTC #BSC #BNB #ETH #memecoin  #BSCGem #BSCGems #altcoin #Crypto https://t.co/mDl23XKs28"
1468436757158920194,GhostCrypto46,GhostCrypto46,0,@jungkookcookyy @Ledger Yeahhh got view on this project and did my own research !Absolutely super legit one with very transparent utilities on #delishfinance dude. Wont miss this golden chance #bnb #cryptowallet  #eth #nft #BSCGem #btc #worldhunger,2021-12-07 23:26:27.545819,2021-12-08 04:26:19+00:00,0,"[{'text': 'delishfinance', 'indices': [143, 157]}, {'text': 'bnb', 'indices': [193, 197]}, {'text': 'cryptowallet', 'indices': [198, 211]}, {'text': 'eth', 'indices': [213, 217]}, {'text': 'nft', 'indices': [218, 222]}, {'text': 'BSCGem', 'indices': [223, 230]}, {'text': 'btc', 'indices': [231, 235]}, {'text': 'worldhunger', 'indices': [236, 248]}]",3005,32,,Twitter for Android,None
1468436754118107139,Bitcoin Price,coinpricenow,0,"1 Bitcoin ( #BTC )
Dollar: 50,406.06$ 

1 Bitcoin Cash ( #BCH )
Dollar: 4,68.97$ 

1 Ethereum ( #ETH )
Dollar: 4,324.22$ 

1 Ripple ( #XRP )
Dollar: 0.81185$ 

Date: 8 Dec 2021 4:26

#Bitcoin #Ethereum #cryptocurrency #crypto #altcoin #Blockchain #Ripple",2021-12-07 23:26:27.550725,2021-12-08 04:26:19+00:00,0,"[{'text': 'BTC', 'indices': [12, 16]}, {'text': 'BCH', 'indices': [57, 61]}, {'text': 'ETH', 'indices': [96, 100]}, {'text': 'XRP', 'indices': [134, 138]}, {'text': 'Bitcoin', 'indices': [183, 191]}, {'text': 'Ethereum', 'indices': [192, 201]}, {'text': 'cryptocurrency', 'indices': [202, 217]}, {'text': 'crypto', 'indices': [218, 225]}, {'text': 'altcoin', 'indices': [226, 234]}, {'text': 'Blockchain', 'indices': [235, 246]}, {'text': 'Ripple', 'indices': [247, 254]}]",18694,5654,,RdemirTwitBot,None
1468436740553809920,BitCoinAlertBot,BitCoinAlertBot,0,#BTC has fallen by -12.0% in the last week. The price is currently $50373.14.,2021-12-07 23:26:27.555168,2021-12-08 04:26:15+00:00,0,"[{'text': 'BTC', 'indices': [0, 4]}]",28842,342,,Bryan's BitCoin Alert Bot,None
1468436738968219652,Sanju,Sanju62402041,1,"Jammu and Kashmir marching towards a better tomorrow 🧡🤍💚
#insiders #Fortnite #القادسيه_الكويت #Strictly #جورج_قرداحي  #عمان_قطر #لا_يسكن_القلب_الا #لبنان #IndianArmy #Bitcoin #BTC #Straykids https://t.co/cJdMgLqM76",2021-12-07 23:26:27.559898,2021-12-08 04:26:15+00:00,0,"[{'text': 'insiders', 'indices': [57, 66]}, {'text': 'Fortnite', 'indices': [67, 76]}, {'text': 'القادسيه_الكويت', 'indices': [77, 93]}, {'text': 'Strictly', 'indices': [94, 103]}, {'text': 'جورج_قرداحي', 'indices': [104, 116]}, {'text': 'عمان_قطر', 'indices': [118, 127]}, {'text': 'لا_يسكن_القلب_الا', 'indices': [128, 146]}, {'text': 'لبنان', 'indices': [147, 153]}, {'text': 'IndianArmy', 'indices': [154, 165]}, {'text': 'Bitcoin', 'indices': [166, 174]}, {'text': 'BTC', 'indices': [175, 179]}, {'text': 'Straykids', 'indices': [180, 190]}]",578,130,,Twitter for Android,None
1468436736984293378,Depra_18,Depra_18,351,"RT @ekoncaa: 💠GIVEAWAY 10TH💠
🎁3 Person win 1000 $BUSD 🎁

🔹Simple requirements ;
🔶FOLLOW ME
🔶RT+LIKE
🔶Tag 3 friend(⚠️)
Good luck❤️

#Giveawa…",2021-12-07 23:26:27.563535,2021-12-08 04:26:14+00:00,0,[],44,1,,Twitter for Android,"💠GIVEAWAY 10TH💠
🎁3 Person win 1000 $BUSD 🎁

🔹Simple requirements ;
🔶FOLLOW ME
🔶RT+LIKE
🔶Tag 3 friend(⚠️)
Good luck❤️

#Giveaway #BTC #ETH #ADA #XRP #SAND #SXP #buythedip #HOT #Bitcoin  #DOGE #CAKE #TRX #REEF #cryptocrash #Çekiliş #ETH #cryto #Binance #NFT #BNB #OKEx"
1468436734736310276,Daniel,TheKing_ElDany,351,"RT @ekoncaa: 💠GIVEAWAY 10TH💠
🎁3 Person win 1000 $BUSD 🎁

🔹Simple requirements ;
🔶FOLLOW ME
🔶RT+LIKE
🔶Tag 3 friend(⚠️)
Good luck❤️

#Giveawa…",2021-12-07 23:26:27.567006,2021-12-08 04:26:14+00:00,0,[],1085,32,,Twitter for Android,"💠GIVEAWAY 10TH💠
🎁3 Person win 1000 $BUSD 🎁

🔹Simple requirements ;
🔶FOLLOW ME
🔶RT+LIKE
🔶Tag 3 friend(⚠️)
Good luck❤️

#Giveaway #BTC #ETH #ADA #XRP #SAND #SXP #buythedip #HOT #Bitcoin  #DOGE #CAKE #TRX #REEF #cryptocrash #Çekiliş #ETH #cryto #Binance #NFT #BNB #OKEx"
1468436730441175047,GodFather,BaekMenabung,125,"RT @terry_romel: 🎁200$ #Giveaway 
Follow me, Retweet this, like and tag 3 friends.
💎💎💎
This promotion ends in 12 hours.
Good luck, guys!🍀
#…",2021-12-07 23:26:27.570039,2021-12-08 04:26:13+00:00,0,"[{'text': 'Giveaway', 'indices': [23, 32]}]",4584,71,,Twitter for iPhone,"🎁200$ #Giveaway 
Follow me, Retweet this, like and tag 3 friends.
💎💎💎
This promotion ends in 12 hours.
Good luck, guys!🍀
#BNB #BTC #Giveaways #Solana #USDT #ETH"
1468436722199445507,nameboy.eth,15Grepples,112,"RT @rektcapital: #BTC has broken back above the 200-day EMA

The 200 EMA is a gauge of long-term investor sentiment

$BTC has been able to…",2021-12-07 23:26:27.573009,2021-12-08 04:26:11+00:00,0,"[{'text': 'BTC', 'indices': [17, 21]}]",79,1,,Twitter for iPhone,"#BTC has broken back above the 200-day EMA

The 200 EMA is a gauge of long-term investor sentiment

$BTC has been able to hold the 200-day EMA as support since August 2021, with periods of brief fake-breakdowns below it

#Crypto #Bitcoin https://t.co/0L9Ch0aCZE"
