tweet_id,name,screen_name,retweet_count,text,mined_at,created_at,favourite_count,hashtags,status_count,followers_count,location,source_device,retweet_text
1468432556626309127,Kanu Chavda,KanuChavda14,83,"RT @CnftGuide: #CNFT #GIVEAWAY🚨
@SpaceSquidsNFT is giving away a CNFT!🥳 

To enter:
🦑Like &amp; RT
🦑Follow @SpaceSquidsNFT 
🦑Tag 3 Friends
🦑Joi…",2021-12-07 23:09:40.461734,2021-12-08 04:09:38+00:00,0,"[{'text': 'CNFT', 'indices': [15, 20]}, {'text': 'GIVEAWAY', 'indices': [21, 30]}]",654,15,,Twitter for Android,"#CNFT #GIVEAWAY🚨
@SpaceSquidsNFT is giving away a CNFT!🥳 

To enter:
🦑Like &amp; RT
🦑Follow @SpaceSquidsNFT 
🦑Tag 3 Friends
🦑Join https://t.co/OhDX4T8xG8 ✅ 

Winner will be announced in 72 hours! GOOD LUCK🚀
#NFTGiveaway #NFT #CNFTGiveaway #ADA #cardano #CNFTCommunity https://t.co/mkkVTE7fj9"
1468432555058003975,Aki,jamieAkicityx,576,"RT @SpencerCUH: I’ve partnered up with @BattleBurgers to give away 3 NFTS  and 10 W/L spots

- follow @BattleBurgers &amp; @SpencerCUH
 - Like…",2021-12-07 23:09:40.469893,2021-12-08 04:09:37+00:00,0,[],44595,131,,Twitter for Android,"I’ve partnered up with @BattleBurgers to give away 3 NFTS  and 10 W/L spots

- follow @BattleBurgers &amp; @SpencerCUH
 - Like and RT
- Tag 3 friends

-Battle Burgers is minting today at 3pm EST!
-join the https://t.co/Jtct4v5qO4

#nftgiveaway #ADA https://t.co/z23L5qQmmp"
1468432547382276104,Helsinki,onaolamipo_,342,"RT @ekoncaa: 💠GIVEAWAY 10TH💠
🎁3 Person win 1000 $BUSD 🎁

🔹Simple requirements ;
🔶FOLLOW ME
🔶RT+LIKE
🔶Tag 3 friend(⚠️)
Good luck❤️

#Giveawa…",2021-12-07 23:09:40.474073,2021-12-08 04:09:36+00:00,0,[],11748,308,,Twitter for Android,"💠GIVEAWAY 10TH💠
🎁3 Person win 1000 $BUSD 🎁

🔹Simple requirements ;
🔶FOLLOW ME
🔶RT+LIKE
🔶Tag 3 friend(⚠️)
Good luck❤️

#Giveaway #BTC #ETH #ADA #XRP #SAND #SXP #buythedip #HOT #Bitcoin  #DOGE #CAKE #TRX #REEF #cryptocrash #Çekiliş #ETH #cryto #Binance #NFT #BNB #OKEx"
1468432540029661184,RetireFund,Retirefund,0,"The Cardano network remains one of the most stable blockchains in the crypto space. Founded in 2017, the network remains one of  the largest proof of stake networks in the industry

Discl: own #ADA 

#Crypto cOins https://t.co/k6qG1CmhOF",2021-12-07 23:09:40.477795,2021-12-08 04:09:34+00:00,0,"[{'text': 'ADA', 'indices': [193, 197]}, {'text': 'Crypto', 'indices': [200, 207]}]",52778,1387,,Twitter Web App,None
1468432487399493639,Stergios Krk,numenakos,77,"RT @CnftGuide: #CNFT #GIVEAWAY🚨
To celebrate their upcoming launch, @CuteShibaClub Will be giving away one Cute Shiba at mint dec 29th!🥳…",2021-12-07 23:09:40.481114,2021-12-08 04:09:21+00:00,0,"[{'text': 'CNFT', 'indices': [15, 20]}, {'text': 'GIVEAWAY', 'indices': [21, 30]}]",22513,843,,Twitter for Android,"#CNFT #GIVEAWAY🚨
To celebrate their upcoming launch, @CuteShibaClub Will be giving away one Cute Shiba at mint dec 29th!🥳 

To enter:
🐶Like &amp; RT
🐶Follow @CuteShibaClub 
🐶Follow @CnftGuide
🐶Tag 3 Friends

48 hours! GOOD LUCK🚀
#NFTGiveaway #NFT #CNFTGiveaway
#ADA #Cardano https://t.co/F61XL7wNla"
1468432474175066116,COINRBI,coinrbicom,0,"🌕 #BTC and 62 Others, Volume 🐋 29 Whales

🇰🇷 78.84억원
🇺🇸 $6,746,190
🇯🇵 ¥740,990,368
🇪🇺 €5,709,833
🇨🇳 43,551,552元

UPBIT(Korea) BULLS NOW🎉🎉🎉
#BTC #ETH #NEO #MTL #LTC #ETC #OMG #SNT #QTUM #XLM #ARDR #STORJ #GRS #ADA #POWR #BTG #ICX #TRX #SC #ONT #ZIL #POLY #ZRX #LOOM",2021-12-07 23:09:40.484455,2021-12-08 04:09:18+00:00,0,"[{'text': 'BTC', 'indices': [2, 6]}, {'text': 'BTC', 'indices': [139, 143]}, {'text': 'ETH', 'indices': [144, 148]}, {'text': 'NEO', 'indices': [149, 153]}, {'text': 'MTL', 'indices': [154, 158]}, {'text': 'LTC', 'indices': [159, 163]}, {'text': 'ETC', 'indices': [164, 168]}, {'text': 'OMG', 'indices': [169, 173]}, {'text': 'SNT', 'indices': [174, 178]}, {'text': 'QTUM', 'indices': [179, 184]}, {'text': 'XLM', 'indices': [185, 189]}, {'text': 'ARDR', 'indices': [190, 195]}, {'text': 'STORJ', 'indices': [196, 202]}, {'text': 'GRS', 'indices': [203, 207]}, {'text': 'ADA', 'indices': [208, 212]}, {'text': 'POWR', 'indices': [213, 218]}, {'text': 'BTG', 'indices': [219, 223]}, {'text': 'ICX', 'indices': [224, 228]}, {'text': 'TRX', 'indices': [229, 233]}, {'text': 'SC', 'indices': [234, 237]}, {'text': 'ONT', 'indices': [238, 242]}, {'text': 'ZIL', 'indices': [243, 247]}, {'text': 'POLY', 'indices': [248, 253]}, {'text': 'ZRX', 'indices': [254, 258]}, {'text': 'LOOM', 'indices': [259, 264]}]",38960,1314,,COINRBI,None
1468432422371196932,Viola Mojico,maymojico,859,"RT @BlindMummyApes: NFT Giveaway 

Like, Follow and RT 💜

Hello we are Blind Mummy Apes and we are going to live on #XRP ledger.

We are yo…",2021-12-07 23:09:40.487547,2021-12-08 04:09:06+00:00,0,"[{'text': 'XRP', 'indices': [116, 120]}]",442,22,,Twitter for iPhone,"NFT Giveaway 

Like, Follow and RT 💜

Hello we are Blind Mummy Apes and we are going to live on #XRP ledger.

We are young and we are going to grow and live long. 

#nft #xrp #ETH #ADA #crypto #NFTCommmunity #NFTcollection https://t.co/TuIaVKgAvG"
1468432377701675013,STEVEN🟢NOBLE🟢,steven_samurai5,3,"RT @steven_samurai5: Life is a one time deal; choose well

#mxs
#MXSamurai ⚡✅♣️

✏https://t.co/E2sgcxwtCL 

✏https://t.co/IiCuJ4KKMu 

@Wol…",2021-12-07 23:09:40.490400,2021-12-08 04:08:55+00:00,0,"[{'text': 'mxs', 'indices': [59, 63]}, {'text': 'MXSamurai', 'indices': [64, 74]}]",469,33,,Twitter for Android,"Life is a one time deal; choose well

#mxs
#MXSamurai ⚡✅♣️

✏https://t.co/E2sgcxwtCL 

✏https://t.co/IiCuJ4KKMu 

@WolfofCryptoBLV
@MXSToken 

#eth #BNB #ADA #Ethereum #MXS #etc #trader #binance #tokens #ETC #btc #eth #trading #coinmarketcap https://t.co/D42oo1eBDt"
1468432327101411331,dess,junesbigwin,576,"RT @SpencerCUH: I’ve partnered up with @BattleBurgers to give away 3 NFTS  and 10 W/L spots

- follow @BattleBurgers &amp; @SpencerCUH
 - Like…",2021-12-07 23:09:40.493083,2021-12-08 04:08:43+00:00,0,[],20401,92,,Twitter for Android,"I’ve partnered up with @BattleBurgers to give away 3 NFTS  and 10 W/L spots

- follow @BattleBurgers &amp; @SpencerCUH
 - Like and RT
- Tag 3 friends

-Battle Burgers is minting today at 3pm EST!
-join the https://t.co/Jtct4v5qO4

#nftgiveaway #ADA https://t.co/z23L5qQmmp"
1468432311767212032,ayyoob_Elite,ayyoob_Elite,3,"RT @wanzhanjie3: A good day begins.

#MXS 🤝 #RBX
🔥🔥🔥 
#MXSamurai 
🟢🔴🟡 🟡
https://t.co/0cUSmzIXeR  mxsrbxsamuraip…
🔴
@WolfofCryptoBLV
@MXSTok…",2021-12-07 23:09:40.495734,2021-12-08 04:08:39+00:00,0,"[{'text': 'MXS', 'indices': [37, 41]}, {'text': 'RBX', 'indices': [44, 48]}, {'text': 'MXSamurai', 'indices': [54, 64]}]",833,45,,Twitter for Android,"A good day begins.

#MXS 🤝 #RBX
🔥🔥🔥 
#MXSamurai 
🟢🔴🟡 🟡
https://t.co/0cUSmzIXeR  mxsrbxsamuraip…
🔴
@WolfofCryptoBLV
@MXSToken 
🔴🟡🟢
#Bitcoin    #BNB    #ADA #在ETH #CMC #MXS #RBXSamurai https://t.co/g6MWOk86tN"
