tweet_id,name,screen_name,retweet_count,text,mined_at,created_at,favourite_count,hashtags,status_count,followers_count,location,source_device,retweet_text
1468448417571606532,Airdropfuryası,Airdropfuryasi,0,"@SolanaButtToken Good Project...

3t4wXosNX6eScot3vxVSsTBo9g5SpeAreASU1eW3S3NE

#sol #memecoin #solanaairdrop #solanaairdrops #cryptogiveaway #crypto",2021-12-08 00:12:54.332668,2021-12-08 05:12:39+00:00,0,"[{'text': 'sol', 'indices': [80, 84]}, {'text': 'memecoin', 'indices': [85, 94]}, {'text': 'solanaairdrop', 'indices': [95, 109]}, {'text': 'solanaairdrops', 'indices': [110, 125]}, {'text': 'cryptogiveaway', 'indices': [126, 141]}, {'text': 'crypto', 'indices': [142, 149]}]",1582,23,,Twitter for Android,None
1468448415977811969,OL'SHOLADEMI,sholaajibodu,0,"@SolanaButtToken A very good and commendable project 
@OlawaleEb @OlawaleEbeneze4 @Ojay_World @fortunateg24 @heisDEMI #sol #memecoin #solanaairdrop #solanaairdrops #cryptogiveaway #crypto
BLskoQ4RMmL8NA4nhjdsDXb3Zn9Mb8p9XzD5aS5yb8nS",2021-12-08 00:12:54.342547,2021-12-08 05:12:39+00:00,0,"[{'text': 'sol', 'indices': [118, 122]}, {'text': 'memecoin', 'indices': [123, 132]}, {'text': 'solanaairdrop', 'indices': [133, 147]}, {'text': 'solanaairdrops', 'indices': [148, 163]}, {'text': 'cryptogiveaway', 'indices': [164, 179]}, {'text': 'crypto', 'indices': [180, 187]}]",4540,136,,Twitter for iPhone,None
1468448408994127874,Md Shah Alam,MdShahA24800974,1123,"RT @SolanaButtToken: Airdropping 69,000 tokens to everyone! 

To Enter:
- Like &amp; Retweet This Tweet
- Follow @SolanaButtToken
- Post #Solan…",2021-12-08 00:12:54.348066,2021-12-08 05:12:37+00:00,0,[],22,3,,Twitter for Android,"Airdropping 69,000 tokens to everyone! 

To Enter:
- Like &amp; Retweet This Tweet
- Follow @SolanaButtToken
- Post #Solana addr 👇

Ends in 48 hrs, or first 10,000 addresses. 

#sol #memecoin #solanaairdrop #solanaairdrops #cryptogiveaway #crypto"
1468448402585366528,Maryam,Maryam67297833,0,"@AirdropDet Excellent and amazing project with strong team and shiny future I wish the best for the project and I am glad to join the airdrop
Good luck ❤️💪💯👍🤞
@Majid_Agha 
@HeliaSamr 
@Mohamma51516509 
 #Airdrops #Bitcoin #AirdropDetective #Crypto #SOL #SOLANA #NFT #NFTs",2021-12-08 00:12:54.353346,2021-12-08 05:12:36+00:00,0,"[{'text': 'Airdrops', 'indices': [203, 212]}, {'text': 'Bitcoin', 'indices': [213, 221]}, {'text': 'AirdropDetective', 'indices': [222, 239]}, {'text': 'Crypto', 'indices': [240, 247]}, {'text': 'SOL', 'indices': [248, 252]}, {'text': 'SOLANA', 'indices': [253, 260]}, {'text': 'NFT', 'indices': [261, 265]}, {'text': 'NFTs', 'indices': [266, 271]}]",3341,47,,Twitter Web App,None
1468448380598640640,Swilder88,gigimi555,129,"RT @ReddyGives: 🎁 Solana Bunnies #NFTGiveaway🎁

Only 1,000 Bunnies NFT! Cheap mint &amp; low supply.🐰

Win 1 cool NFT!

To enter:

✅ Follow @So…",2021-12-08 00:12:54.357650,2021-12-08 05:12:31+00:00,0,"[{'text': 'NFTGiveaway', 'indices': [33, 45]}]",9382,281,,Twitter Web App,"🎁 Solana Bunnies #NFTGiveaway🎁

Only 1,000 Bunnies NFT! Cheap mint &amp; low supply.🐰

Win 1 cool NFT!

To enter:

✅ Follow @SolanaBunnies &amp; me

✅ RT, Like &amp; Tag 3

⏰Ends in 72hrs

#SolanaNFT #NFTs #NFTCommunity #SolanaAirdrop #SolanaNFTs #NFTGiveaways #SOL #NFTArt #NFTartist https://t.co/hIul7iNZXQ"
1468448357047619584,Doridro Khan,xdoridro121,15275,"RT @airdropinspect: New airdrop: Original Gamer Life (OGL)
Total Reward: 3,500,000 OGL
Rate: ⭐️⭐️⭐️⭐️⭐️
Winners: 5,000 Random &amp; Top 200
Dis…",2021-12-08 00:12:54.361262,2021-12-08 05:12:25+00:00,0,[],63,352,,Twitter for Android,"New airdrop: Original Gamer Life (OGL)
Total Reward: 3,500,000 OGL
Rate: ⭐️⭐️⭐️⭐️⭐️
Winners: 5,000 Random &amp; Top 200
Distribution: within a week after TGE

Bot Airdrop Link: https://t.co/t0DsAqhQ3d

#Airdrop #Airdrops #Airdropinspector #SOL #OriginalGamerLife #OGL #Crypto #Bitcoin"
1468448347539361792,Horlarlekan,Horlarlekan1818,0,"@SolanaButtToken Great project and congratulations to the team for their efforts and dedication.

@IbraheemIssa7 
@SoliuAdemola1 
@AbdulateefNafi1

3jhsPgY2m5z3bsW7aYFj7GrYTuDSWv6RXTtjxepo1Zp9

#sol #memecoin #solanaairdrop #solanaairdrops #cryptogiveaway #crypto",2021-12-08 00:12:54.364645,2021-12-08 05:12:23+00:00,0,"[{'text': 'sol', 'indices': [194, 198]}, {'text': 'memecoin', 'indices': [199, 208]}, {'text': 'solanaairdrop', 'indices': [209, 223]}, {'text': 'solanaairdrops', 'indices': [224, 239]}, {'text': 'cryptogiveaway', 'indices': [240, 255]}, {'text': 'crypto', 'indices': [256, 263]}]",2153,35,,Twitter for Android,None
1468448341579247616,Brownie,IyamuEmmanuel24,589,"RT @tunnelpandasol: $TPS Token AIRDROP

Submit Airdrop $TPS 
- Follow us : @tunnelpandasol
- Join telegram channel: https://t.co/q3cWOe9rT5…",2021-12-08 00:12:54.367861,2021-12-08 05:12:21+00:00,0,[],337,33,,Twitter Web App,"$TPS Token AIRDROP

Submit Airdrop $TPS 
- Follow us : @tunnelpandasol
- Join telegram channel: https://t.co/q3cWOe9rT5
- Like &amp; Retweet
- Comment and tag 5 friend
- Use these 👇 hashtag to quote
#solanaAirdrop #tps #Sol #airdrop #airdrops
- Fill Form : https://t.co/Br9CXUlX9N https://t.co/h6weqYp0h6"
1468448336655306752,COINRBI,coinrbicom,0,"🚀 #MLK and 35 Others, Volume 🐋 21 Whales

🇰🇷 31.57억원
🇺🇸 $2,701,352
🇯🇵 ¥296,712,037
🇪🇺 €2,286,367
🇨🇳 17,439,187元

UPBIT(Korea) BULLS NOW🎉🎉🎉
#MTL #XLM #GRS #SC #ZIL #MBL #MLK #STPT #ORBS #VET #CHZ #STMX #DKA #KAVA #BORA #JST #TON #HUNT #CBK #STRK #PUNDIX #DAWN #SOL #",2021-12-08 00:12:54.370817,2021-12-08 05:12:20+00:00,0,"[{'text': 'MLK', 'indices': [2, 6]}, {'text': 'MTL', 'indices': [139, 143]}, {'text': 'XLM', 'indices': [144, 148]}, {'text': 'GRS', 'indices': [149, 153]}, {'text': 'SC', 'indices': [154, 157]}, {'text': 'ZIL', 'indices': [158, 162]}, {'text': 'MBL', 'indices': [163, 167]}, {'text': 'MLK', 'indices': [168, 172]}, {'text': 'STPT', 'indices': [173, 178]}, {'text': 'ORBS', 'indices': [179, 184]}, {'text': 'VET', 'indices': [185, 189]}, {'text': 'CHZ', 'indices': [190, 194]}, {'text': 'STMX', 'indices': [195, 200]}, {'text': 'DKA', 'indices': [201, 205]}, {'text': 'KAVA', 'indices': [206, 211]}, {'text': 'BORA', 'indices': [212, 217]}, {'text': 'JST', 'indices': [218, 222]}, {'text': 'TON', 'indices': [223, 227]}, {'text': 'HUNT', 'indices': [228, 233]}, {'text': 'CBK', 'indices': [234, 238]}, {'text': 'STRK', 'indices': [239, 244]}, {'text': 'PUNDIX', 'indices': [245, 252]}, {'text': 'DAWN', 'indices': [253, 258]}, {'text': 'SOL', 'indices': [259, 263]}]",39008,1314,,COINRBI,None
1468448330757795842,TRANLONGGIANG,LonggiangTran1,5,"RT @PiNetworkDigi: 👉 Market Overview Dec 7th
      #BTC_D: 42.15
      #Fear_Greed: 25
      Top Gainers: $BSW, $SPELL, $IDEX

#PiNetworkDi…",2021-12-08 00:12:54.373774,2021-12-08 05:12:19+00:00,0,"[{'text': 'BTC_D', 'indices': [51, 57]}, {'text': 'Fear_Greed', 'indices': [71, 82]}]",405,6,,Twitter for Android,"👉 Market Overview Dec 7th
      #BTC_D: 42.15
      #Fear_Greed: 25
      Top Gainers: $BSW, $SPELL, $IDEX

#PiNetworkDigi #SHIB #SOL #PiExchange #altcoins #PiNetwork #CryptoNews #AVAX  #AirdropCrypto #PiHackathon #BuildPi2gether #Pi2theMoon #BTC #Pibrowser https://t.co/4IH1QlR6fe"
1468448329298157575,Arlyn 🌚,ArlynZ9,606,"RT @JeremyCrypt0: 💎New gem in solana!💎

New NFT project, minting on December 16!

Their art is SICK,and they are giving away 8 iPhones 13 f…",2021-12-08 00:12:54.613652,2021-12-08 05:12:18+00:00,0,[],17686,103,,Twitter for Android,"💎New gem in solana!💎

New NFT project, minting on December 16!

Their art is SICK,and they are giving away 8 iPhones 13 for those who participate in the mint!

☑️Follow @Whimsicaldragos 🐉
☑️Join https://t.co/yGLysbRFHq

#NFT #NFTdrop #nftmint #NFTartists
#GEM #SOL #SolanaNFT https://t.co/MKEhxCnyox"
1468448293260779520,Hennry Sen,SenHennry,275,"RT @0x_apes: 🚨Gapettes on Sol - MINT on 08/12 17:00 UTC🚨

Let's celebrate with a giveaway! 

One winner gets 1 Gapette NFT and 1 $SOL !!🤑…",2021-12-08 00:12:54.622084,2021-12-08 05:12:10+00:00,0,[],1637,62,,Twitter Web App,"🚨Gapettes on Sol - MINT on 08/12 17:00 UTC🚨

Let's celebrate with a giveaway! 

One winner gets 1 Gapette NFT and 1 $SOL !!🤑

To enter:
1️⃣ Follow @0x_apes 
2️⃣ Like and RT 📍, Tag 3 friends
3️⃣ Join our Discord and say hi!

Ends 08/01 17:00 UTC!

#NFTs #NFTGiveaway #Solana #SOL https://t.co/tbszRKi0q4"
1468448276902932489,Lalerpink,lalerpink,1123,"RT @SolanaButtToken: Airdropping 69,000 tokens to everyone! 

To Enter:
- Like &amp; Retweet This Tweet
- Follow @SolanaButtToken
- Post #Solan…",2021-12-08 00:12:54.627299,2021-12-08 05:12:06+00:00,0,[],4940,66,,Twitter Web App,"Airdropping 69,000 tokens to everyone! 

To Enter:
- Like &amp; Retweet This Tweet
- Follow @SolanaButtToken
- Post #Solana addr 👇

Ends in 48 hrs, or first 10,000 addresses. 

#sol #memecoin #solanaairdrop #solanaairdrops #cryptogiveaway #crypto"
1468448271010045957,Horlarlekan,Horlarlekan1818,1123,"RT @SolanaButtToken: Airdropping 69,000 tokens to everyone! 

To Enter:
- Like &amp; Retweet This Tweet
- Follow @SolanaButtToken
- Post #Solan…",2021-12-08 00:12:54.632396,2021-12-08 05:12:04+00:00,0,[],2153,35,,Twitter for Android,"Airdropping 69,000 tokens to everyone! 

To Enter:
- Like &amp; Retweet This Tweet
- Follow @SolanaButtToken
- Post #Solana addr 👇

Ends in 48 hrs, or first 10,000 addresses. 

#sol #memecoin #solanaairdrop #solanaairdrops #cryptogiveaway #crypto"
1468448253565980672,HUSSAYN SULIKHAH,HussaynSulikhah,589,"RT @tunnelpandasol: $TPS Token AIRDROP

Submit Airdrop $TPS 
- Follow us : @tunnelpandasol
- Join telegram channel: https://t.co/q3cWOe9rT5…",2021-12-08 00:12:54.636579,2021-12-08 05:12:00+00:00,0,[],789,12,,Twitter for Android,"$TPS Token AIRDROP

Submit Airdrop $TPS 
- Follow us : @tunnelpandasol
- Join telegram channel: https://t.co/q3cWOe9rT5
- Like &amp; Retweet
- Comment and tag 5 friend
- Use these 👇 hashtag to quote
#solanaAirdrop #tps #Sol #airdrop #airdrops
- Fill Form : https://t.co/Br9CXUlX9N https://t.co/h6weqYp0h6"
1468448251250556932,Solana Zombie Business (The Next Solana Blue Chip),zombiacs,0,"😳 We JUST listed 3 Genesis Zombies for 0.2 #SOL 🤯
😭 If they're gone... they're SOLD 😭
💰 Check NOW at https://t.co/DZndySCTyp 
🤩 If you grabbed one... CONGRATS 🤩
🎬 Check out the new ZOMBIE TRAILER...
https://t.co/rtfO2af5uW 
#SOLANA #SolanaAirdrop #SolanaNFTs #SolanaNFT https://t.co/5wevhczPKL",2021-12-08 00:12:54.640190,2021-12-08 05:12:00+00:00,0,"[{'text': 'SOL', 'indices': [43, 47]}, {'text': 'SOLANA', 'indices': [224, 231]}, {'text': 'SolanaAirdrop', 'indices': [232, 246]}, {'text': 'SolanaNFTs', 'indices': [247, 258]}, {'text': 'SolanaNFT', 'indices': [259, 269]}]",754,3757,,Twitter Web App,None
1468448242882859009,Vinoktw,chronojuliush,942,"RT @NFCubeNFTs: ⚡ NFCube #Airdrop 🔥

💰250,000 $NFC ($2,500,000)
🎁100 $NFC ( worth $1000)
👤Top 2500 Invitees

✅ Follow @NFCubeNFTs
✅ Retweet…",2021-12-08 00:12:54.643630,2021-12-08 05:11:58+00:00,0,"[{'text': 'Airdrop', 'indices': [25, 33]}]",319,3,,Twitter for Android,"⚡ NFCube #Airdrop 🔥

💰250,000 $NFC ($2,500,000)
🎁100 $NFC ( worth $1000)
👤Top 2500 Invitees

✅ Follow @NFCubeNFTs
✅ Retweet this 
✅ Join our discord https://t.co/RnzrMjd7L3
✅ Claim 👇
https://t.co/u82J4QAEn2

#Airdrop #Solana #SOL #NFCube $NFC #SolanaAirdrop #NFTs #NFT https://t.co/O4B3MVN9p7"
1468448234230009857,Teh Manis,Teh_Manis997,1123,"RT @SolanaButtToken: Airdropping 69,000 tokens to everyone! 

To Enter:
- Like &amp; Retweet This Tweet
- Follow @SolanaButtToken
- Post #Solan…",2021-12-08 00:12:54.646905,2021-12-08 05:11:56+00:00,0,[],2403,86,,Twitter for Android,"Airdropping 69,000 tokens to everyone! 

To Enter:
- Like &amp; Retweet This Tweet
- Follow @SolanaButtToken
- Post #Solana addr 👇

Ends in 48 hrs, or first 10,000 addresses. 

#sol #memecoin #solanaairdrop #solanaairdrops #cryptogiveaway #crypto"
1468448223803154432,NFTs Promoter Giveaway,jeniffe25458218,275,"RT @0x_apes: 🚨Gapettes on Sol - MINT on 08/12 17:00 UTC🚨

Let's celebrate with a giveaway! 

One winner gets 1 Gapette NFT and 1 $SOL !!🤑…",2021-12-08 00:12:54.649840,2021-12-08 05:11:53+00:00,0,[],1792,49,,Twitter Web App,"🚨Gapettes on Sol - MINT on 08/12 17:00 UTC🚨

Let's celebrate with a giveaway! 

One winner gets 1 Gapette NFT and 1 $SOL !!🤑

To enter:
1️⃣ Follow @0x_apes 
2️⃣ Like and RT 📍, Tag 3 friends
3️⃣ Join our Discord and say hi!

Ends 08/01 17:00 UTC!

#NFTs #NFTGiveaway #Solana #SOL https://t.co/tbszRKi0q4"
1468448193583091712,Supeerfunny,Supeerfunny1,1123,"RT @SolanaButtToken: Airdropping 69,000 tokens to everyone! 

To Enter:
- Like &amp; Retweet This Tweet
- Follow @SolanaButtToken
- Post #Solan…",2021-12-08 00:12:54.904376,2021-12-08 05:11:46+00:00,0,[],60,1,,Twitter Web App,"Airdropping 69,000 tokens to everyone! 

To Enter:
- Like &amp; Retweet This Tweet
- Follow @SolanaButtToken
- Post #Solana addr 👇

Ends in 48 hrs, or first 10,000 addresses. 

#sol #memecoin #solanaairdrop #solanaairdrops #cryptogiveaway #crypto"
1468448174104883203,Maryam,Maryam67297833,7911,"RT @AirdropDet: 🔍 New #Airdrop: Entropy

⛲️ Total Airdrop Pool: $16,000 worth of NFT

🔴 Start the airdrop bot https://t.co/GGlnbeWSgs

🔘 Do…",2021-12-08 00:12:54.914395,2021-12-08 05:11:41+00:00,0,"[{'text': 'Airdrop', 'indices': [22, 30]}]",3341,47,,Twitter Web App,"🔍 New #Airdrop: Entropy

⛲️ Total Airdrop Pool: $16,000 worth of NFT

🔴 Start the airdrop bot https://t.co/GGlnbeWSgs

🔘 Do the tasks on the bot &amp; submit your data.

🔘 Details: https://t.co/1GpYdVTECJ

 #Airdrops #Bitcoin #AirdropDetective #Crypto #SOL #SOLANA #NFT #NFTs https://t.co/A1bHp9kwCd"
1468448166311698432,Wahyudi,Wahyudi61986515,1123,"RT @SolanaButtToken: Airdropping 69,000 tokens to everyone! 

To Enter:
- Like &amp; Retweet This Tweet
- Follow @SolanaButtToken
- Post #Solan…",2021-12-08 00:12:54.919411,2021-12-08 05:11:39+00:00,0,[],5,2,,Twitter Web App,"Airdropping 69,000 tokens to everyone! 

To Enter:
- Like &amp; Retweet This Tweet
- Follow @SolanaButtToken
- Post #Solana addr 👇

Ends in 48 hrs, or first 10,000 addresses. 

#sol #memecoin #solanaairdrop #solanaairdrops #cryptogiveaway #crypto"
1468448165678489602,OL'SHOLADEMI,sholaajibodu,1123,"RT @SolanaButtToken: Airdropping 69,000 tokens to everyone! 

To Enter:
- Like &amp; Retweet This Tweet
- Follow @SolanaButtToken
- Post #Solan…",2021-12-08 00:12:54.925244,2021-12-08 05:11:39+00:00,0,[],4540,136,,Twitter for iPhone,"Airdropping 69,000 tokens to everyone! 

To Enter:
- Like &amp; Retweet This Tweet
- Follow @SolanaButtToken
- Post #Solana addr 👇

Ends in 48 hrs, or first 10,000 addresses. 

#sol #memecoin #solanaairdrop #solanaairdrops #cryptogiveaway #crypto"
