tweet_id,name,screen_name,retweet_count,text,mined_at,created_at,favourite_count,hashtags,status_count,followers_count,location,source_device,retweet_text
1468452129203494916,Venus,Vava_airlangga,73,"RT @NoNewNormal72: 🏆 #Giveaways 🏆

10 Lucky Winners have the Chance of Winning  5,000  #BumCrack each

Must do the following 

1. Follow Me…",2021-12-08 00:27:28.420074,2021-12-08 05:27:24+00:00,0,"[{'text': 'Giveaways', 'indices': [21, 31]}, {'text': 'BumCrack', 'indices': [87, 96]}]",1437,19,,Twitter for Android,"🏆 #Giveaways 🏆

10 Lucky Winners have the Chance of Winning  5,000  #BumCrack each

Must do the following 

1. Follow Me &amp; @BumCrackXRP

2. Like,Share,TAG At least 5 Friends.

3. Follow #BumCrack on #Instagram
https://t.co/OnxmTJlrfV

#XRPArmy #XRPL #XRP #XRPCommunity https://t.co/6MGlhVhUvS"
1468452127534379010,Guwan Kwon,GuwanKwon,148,"RT @NorthernVoIP: $NVL is doing us proud and is in the top 30 of Tokens on the #XUMMCommunity Trustlines list 🚀🚀🚀

Set your Trustline to be…",2021-12-08 00:27:28.432220,2021-12-08 05:27:24+00:00,0,"[{'text': 'XUMMCommunity', 'indices': [79, 93]}]",46,4,,Twitter for Android,"$NVL is doing us proud and is in the top 30 of Tokens on the #XUMMCommunity Trustlines list 🚀🚀🚀

Set your Trustline to be in with a chance of the5,000,000 #NVL Airdrop on 20th December 2021 🎁🎉 

#NVLRewards #XRPL #XRP #XRPCommunity #XUMM

https://t.co/8TQZbH2Fwb https://t.co/scgTPOfRPT"
1468452081250217984,住設,EK22y9,1289,RT @CommunityFlare: Here is my take on the big picture Ripple has for #XRP. Sidechains hosting CBDCs which connect to the #XRPL as a bridge…,2021-12-08 00:27:28.434775,2021-12-08 05:27:13+00:00,0,"[{'text': 'XRP', 'indices': [70, 74]}, {'text': 'XRPL', 'indices': [122, 127]}]",5,5,,Twitter for iPhone,"Here is my take on the big picture Ripple has for #XRP. Sidechains hosting CBDCs which connect to the #XRPL as a bridge. #Liquidity

🔁RT for a chance to win $XRP / $CSC
https://t.co/IqiGF8rqOd"
1468452079228567561,Cafe@ニャンコ好き【cafenyan.crypto】,Cafe58381656,436,"RT @NorthernVoIP: 5 Million #NVL Airdrop 20th Dec

13K TLs with 5 NVL or more currently qualify for AD

Max TLs 30K

Help us get to 30K qua…",2021-12-08 00:27:28.437065,2021-12-08 05:27:12+00:00,0,"[{'text': 'NVL', 'indices': [28, 32]}]",1864,395,,Twitter for Android,"5 Million #NVL Airdrop 20th Dec

13K TLs with 5 NVL or more currently qualify for AD

Max TLs 30K

Help us get to 30K qualifying TLs &amp; 30 lucky people win 50 $NVL 🎁

To win:
✅ Like, RT &amp; Follow @NorthernVoIP 
✅ Tag 3 Friends &amp; add #NVLRewards 

#XRP

https://t.co/eVvnHP2OeI"
1468452075810000897,Pete Barr,Pete1195,0,@NexoFinance When @BittrexExchange @BittrexGlobal we are waiting for your announcement??? $SGB  #XRP,2021-12-08 00:27:28.439331,2021-12-08 05:27:12+00:00,0,"[{'text': 'XRP', 'indices': [96, 100]}]",54,3,,Twitter for iPhone,None
1468452009514733576,markulit19,TorioJ_35k,73,"RT @NoNewNormal72: 🏆 #Giveaways 🏆

10 Lucky Winners have the Chance of Winning  5,000  #BumCrack each

Must do the following 

1. Follow Me…",2021-12-08 00:27:28.441918,2021-12-08 05:26:56+00:00,0,"[{'text': 'Giveaways', 'indices': [21, 31]}, {'text': 'BumCrack', 'indices': [87, 96]}]",3173,57,,Twitter for Android,"🏆 #Giveaways 🏆

10 Lucky Winners have the Chance of Winning  5,000  #BumCrack each

Must do the following 

1. Follow Me &amp; @BumCrackXRP

2. Like,Share,TAG At least 5 Friends.

3. Follow #BumCrack on #Instagram
https://t.co/OnxmTJlrfV

#XRPArmy #XRPL #XRP #XRPCommunity https://t.co/6MGlhVhUvS"
1468452004380889089,Ahmed P,StylistCrypto,125,"RT @WatcherGuru: Which of these will happen first in 2022? 🤔

#Bitcoin: $100,000 
#Ethereum: $10,000
#BNB: $1,000 
#Solana: $500
#Chainlink…",2021-12-08 00:27:28.445033,2021-12-08 05:26:55+00:00,0,"[{'text': 'Bitcoin', 'indices': [62, 70]}, {'text': 'Ethereum', 'indices': [82, 91]}, {'text': 'BNB', 'indices': [101, 105]}, {'text': 'Solana', 'indices': [115, 122]}, {'text': 'Chainlink', 'indices': [129, 139]}]",12895,358,,Twitter for Android,"Which of these will happen first in 2022? 🤔

#Bitcoin: $100,000 
#Ethereum: $10,000
#BNB: $1,000 
#Solana: $500
#Chainlink: $100
#Polkadot: $100
#Cardano: $6 
#XRP: $4 
#SHIB: $0.0001
#DOGE: $1 
#VeChain: $1
#CRO: $1
#XLM: $1 
#MATIC: $4 
#SafeMoon: $.0000050"
1468451992414474241,S.,SuryaTriyadi19,0,"@XReddog_Coin If we never try, we will never know. 
Let me be my lucky day...

                  🌕
             🚀

@jackrizi
@Hyldadlyh
@ikhsanjp
@ahmadbluy
@feri_wengok
#giveaway #XRParmy #XRP",2021-12-08 00:27:28.447577,2021-12-08 05:26:52+00:00,0,"[{'text': 'giveaway', 'indices': [170, 179]}, {'text': 'XRParmy', 'indices': [180, 188]}, {'text': 'XRP', 'indices': [189, 193]}]",4955,74,,Twitter for Android,None
1468451952363249665,Giannis,Gianniskingdom,1258,"RT @shawnmayj: 🎁#MWG #Giveaway🎁

10,000 $MWG tokens each to 5 lucky winners✨

🛰️Like &amp; Retweet
👾Follow @motionwreckg and me
🧑‍🚀Website : ht…",2021-12-08 00:27:28.450249,2021-12-08 05:26:42+00:00,0,"[{'text': 'MWG', 'indices': [16, 20]}, {'text': 'Giveaway', 'indices': [21, 30]}]",1366,47,,Twitter Web App,"🎁#MWG #Giveaway🎁

10,000 $MWG tokens each to 5 lucky winners✨

🛰️Like &amp; Retweet
👾Follow @motionwreckg and me
🧑‍🚀Website : https://t.co/Asu0tg9MX1

Ends 48hrs
Will use #TwitterPicker for transparency

#XRP #XRPCommunity #XRPL #XRPArmy #MWG #MotionWreckGames #XRPLcommunity https://t.co/oaPy3P7pPW"
1468451949687181314,Sutrisno,ds_bangkit,2,"RT @4Kmillion: GIVEAWAY! 🎁 200 USDT &amp; NFT to one person. 

To enter:
1. Follow me
2. Like + RT this post

24 Hours from now

#Crypto #BTC #…",2021-12-08 00:27:28.452872,2021-12-08 05:26:41+00:00,0,"[{'text': 'Crypto', 'indices': [129, 136]}, {'text': 'BTC', 'indices': [137, 141]}]",1906,38,,Twitter for Android,"GIVEAWAY! 🎁 200 USDT &amp; NFT to one person. 

To enter:
1. Follow me
2. Like + RT this post

24 Hours from now

#Crypto #BTC #ETH  #Solana #ADA #AVAX #btt #XRP #SHIB #SAND #Chz #MANA #GALA https://t.co/960HaFPbde"
